ID,Ring,Early Trophozoite,Late Trophozoite,Schizont,Gametocyte II,Gametocyte V,Ookinete
PF3D7_0100100,23.267,6.803,2.8393,2.0372,2.1513,0.7465,1.0775
PF3D7_0100200,4.0874,3.1047,1.4871,0.295,1.1041,0.9732,2.8095
PF3D7_0100300,1.5983,0.2388,0.2272,0.959,0.0552,0.0729,0
PF3D7_0100400,3.265,3.472,11.5457,0.5253,2.162,1.4726,2.5006
PF3D7_0100500,0.932,0,2.2042,0,3.9275,2.5965,0
PF3D7_0100600,1.5464,0.7341,0.3047,0.5442,1.9346,0.8975,1.2954
PF3D7_0100700,0,0,0,0,0,0,0
PF3D7_0100800,1.6137,1.0725,0,0,0,0.3746,0
PF3D7_0100900,0.5948,1.6566,0.2344,0,0.2088,0.4602,0
PF3D7_0101000,2.1323,0.4417,0.1528,0,0.1021,0.09,0
PF3D7_0101100,0,0,0,0,0,0,0
PF3D7_0101200,0,0,0,0,0,0,0
PF3D7_0101300,1.3269,14.559,0.3486,0,0.6213,0,5.9285
PF3D7_0101400,0,0,0,0,0,0,0
PF3D7_0101500,0.0633,0,0,0,0.1335,0,0
PF3D7_0101600,2.7272,4.286,0.8154,0.2647,0.8916,0.4366,0
PF3D7_0101700,0.1536,0,0,0,0,0,0
PF3D7_0101800,0.7199,0.6379,0,0,0,0,0
PF3D7_0101900,2.8322,0.6914,3.9869,13.1006,0.2131,0.0939,0
PF3D7_0102000,2.6131,0.8357,0,0,0,0.2554,0
PF3D7_0102100,4.5654,1.0309,0.0972,0,0,0.1145,0
PF3D7_0102200,1104.6624,17.9366,387.6864,85.2504,3.5441,2.291,299.3235
PF3D7_0102300,4.1283,6.2716,45.0972,14.1143,12.426,9.0364,3.9523
PF3D7_0102400,2.1747,0.6882,3.143,2.5513,7.2549,52.3391,9.7162
PF3D7_0102500,7.4562,0.927,61.2808,24.3051,3.2729,3.7711,91.9073
PF3D7_0102600,5.4041,29.5718,2.6517,0.1552,2.3818,4.7111,22.1732
PF3D7_0102700,10.3006,3.6258,9.1104,1.7684,6.749,20.0639,124.5919
PF3D7_0102800,3.491,1.6084,5.0529,2.9004,8.0789,46.7677,28.3815
PF3D7_0102900,40.7341,63.0197,47.6858,12.0314,16.7206,19.2739,27.5215
PF3D7_0103000,2.6766,1.1182,15.8251,29.7679,34.401,33.555,165.026
PF3D7_0103100,3.5966,0.4526,11.4083,2.5166,2.3092,20.8695,14.5475
PF3D7_0103200,20.1577,90.7137,72.3907,28.828,102.0492,118.1811,38.5967
PF3D7_0103300,29.003,23.353,21.4308,8.5284,3.7893,11.6028,20.8068
PF3D7_0103400,6.9978,28.7293,44.792,21.8786,6.9197,91.455,140.1147
PF3D7_0103500,1.9649,1.0433,4.4965,1.1279,2.7532,10.009,3.8353
PF3D7_0103600,5.123,11.3641,11.7583,3.8294,11.3433,43.0268,24.0025
PF3D7_0103700,3.1809,2.071,4.657,0.7311,4.0349,22.7873,26.9733
PF3D7_0103800,6.9409,1.5261,35.3497,26.2282,102.6583,225.5073,55.084
PF3D7_0103900,2.8996,5.9651,23.1443,5.953,3.9457,96.0953,19.4324
PF3D7_0104000,4.8799,1.4504,6.523,10.7528,25.928,130.0371,34.1252
PF3D7_0104100,2.6799,0.5339,48.5571,243.4413,1.2033,15.3401,4.7108
PF3D7_0104200,7.8235,73.8011,127.2835,88.1103,19.1526,17.0902,55.9253
PF3D7_0104300,53.1186,50.9048,45.9731,17.8865,4.891,12.9618,21.9863
PF3D7_0104400,7.2058,15.582,48.9241,17.9124,26.9455,53.5925,180.9824
PF3D7_0104500,50.8172,34.4164,37.0012,3.1717,68.0393,92.8686,21.809
PF3D7_0104600,2.4149,2.643,2.1084,0.3655,2.3252,9.8624,0.348
PF3D7_0104700,2.248,0.4083,0.6164,0,1.493,4.4474,24.2359
PF3D7_0104800,7.8261,2.4235,26.3387,19.4923,19.6602,62.6119,45.1854
PF3D7_0104900,51.5162,6.9508,9.6184,0,73.5517,118.9678,663.2256
PF3D7_0105000,7.9081,5.5263,3.9898,1.7812,41.9887,69.0307,462.138
PF3D7_0105100,1.9331,0.5506,4.1907,2.7213,2.5456,8.9756,9.7162
PF3D7_0105200,6.5433,16.9544,29.9371,4.821,6.3779,22.2608,24.5893
PF3D7_0105300,5.9772,0.9728,160.2063,242.221,97.3767,111.8043,60.0854
PF3D7_0105400.1,3.4549,1.4995,23.1503,44.4687,47.0559,55.9162,23.1535
PF3D7_0105400.2,3.6354,1.5779,23.7456,46.0606,49.514,58.3549,24.363
PF3D7_0105500,2.6223,1.4555,4.5319,1.4198,2.125,8.9912,5.4072
PF3D7_0105600,20.4515,14.5205,13.5472,5.1184,5.9847,13.7162,23.6044
PF3D7_0105700,4.0996,2.8034,21.3247,7.3861,12.6456,59.5203,326.9515
PF3D7_0105800,3.6759,1.7451,51.1395,41.752,8.7571,27.9677,36.392
PF3D7_0105900,3.0998,1.8248,14.9064,8.7278,8.3273,107.5875,32.1998
PF3D7_0106000,5.8433,3.8657,27.1331,22.7146,1.7871,14.3532,21.2219
PF3D7_0106100,19.6633,48.6621,59.2179,21.6861,6.014,13.7158,9.7162
PF3D7_0106200,5.316,1.2236,10.6673,5.8963,6.6185,36.6504,49.6606
PF3D7_0106300,93.2613,83.6136,280.6638,337.6747,27.5597,16.4584,54.6447
PF3D7_0106400,104.8314,42.7599,16.2485,0.624,102.966,483.2431,77.2345
PF3D7_0106500,3.5978,0.4866,6.2359,2.9835,1.8691,13.2956,34.681
PF3D7_0106600,3.8275,0.5286,0.8229,1.6328,0.9775,2.6926,18.6551
PF3D7_0106700,106.9099,139.4637,60.7671,28.7425,5.8753,13.7805,48.1002
PF3D7_0106800,4.5315,16.4728,129.624,91.5908,109.459,107.7576,60.7375
PF3D7_0106900,1.3729,1.1507,10.2257,5.3317,2.9923,27.916,41.2443
PF3D7_0107000,6.1768,8.2888,207.9183,79.4197,564.819,453.7099,579.5228
PF3D7_0107100,2.2387,3.7896,8.1685,1.4407,4.8516,12.117,15.4316
PF3D7_0107200,2.6766,2.815,11.9297,1.7391,16.9185,13.9573,13.7981
PF3D7_0107300,2.5227,0.6607,2.4687,1.2246,2.9325,88.2932,100.2712
PF3D7_0107400,37.9593,6.5217,31.7051,10.8149,293.9688,189.6771,66.6254
PF3D7_0107500,390.7755,328.8609,149.5146,30.4367,11.5627,14.5635,47.5572
PF3D7_0107600,2.1147,0.2815,0.9624,0.0613,2.4805,24.6188,14.3186
PF3D7_0107700,2.0239,0.7686,6.8115,1.0958,12.8749,83.2022,36.5172
PF3D7_0107800,3.1863,5.3546,11.9146,2.8581,2.8814,14.1922,17.7631
PF3D7_0107900,3.9082,13.7897,17.4917,2.8397,34.5318,134.6344,28.7261
PF3D7_0108000,159.6805,133.5999,470.5735,218.3082,255.2588,190.9226,114.9972
PF3D7_0108100,1.9066,1.247,7.9326,1.9385,7.4206,76.6739,10.6478
PF3D7_0108300,270.836,759.6164,221.257,246.998,52.2797,43.844,110.4026
PF3D7_0108400.1,17.871,13.6543,15.1653,1.7758,32.227,100.7439,52.1328
PF3D7_0108400.2,17.2986,17.2174,18.6525,2.2393,38.542,137.9271,69.2904
PF3D7_0108500,47662.6647,2978.8458,4995.5131,6377.3235,1011.7287,555.5912,510.4246
PF3D7_0108600,47.8304,8.1787,26.2687,7.0206,23.5224,153.5621,71.3998
PF3D7_0108700,34.0717,56.0699,94.4715,27.7851,12.5898,29.3977,167.0546
PF3D7_0108800,10.3135,21.3053,39.5877,16.0117,48.1311,333.2369,171.8234
PF3D7_0108900,1.3918,0.2643,7.8176,13.2259,52.2359,464.6502,30.3145
PF3D7_0109000,8.0417,1.762,173.4813,117.5643,1516.2898,1107.2333,410.4125
PF3D7_0109100,1.9931,0.3592,5.4327,5.1363,16.7269,59.4796,88.7476
PF3D7_0109200,18.8167,22.6869,48.9742,14.296,155.1229,202.3329,66.0535
PF3D7_0109300,1.7236,1.3092,5.0104,1.8198,26.5563,94.8359,2.8877
PF3D7_0109400,12.7099,21.8406,45.0053,9.3863,1702.4578,1264.0477,444.0364
PF3D7_0109500,57.9934,220.5916,274.127,167.0519,497.4521,1431.8886,370.7106
PF3D7_0109600,14.9784,11.5523,9.6278,1.9464,128.9058,178.0383,12.3543
PF3D7_0109700,47.0881,44.3857,13.566,5.8569,58.7704,103.4343,106.4558
PF3D7_0109800,43.9783,29.9635,37.8118,7.1436,10.246,12.2292,74.4909
PF3D7_0109900.1,4.749,1.5955,27.6462,18.1283,71.9667,368.7922,94.8668
PF3D7_0109900.2,4.3056,1.407,26.6803,19.3121,46.4144,296.7613,63.7494
PF3D7_0110000,10.0686,8.0978,57.195,24.5968,1649.7138,922.7555,752.1583
PF3D7_0110100,9.1176,8.9326,9.9746,2.2004,7.4489,52.1488,12.4699
PF3D7_0110200,7.2491,8.6265,21.3346,2.041,34.1112,81.9025,29.1486
PF3D7_0110300,11.3877,9.8032,5.6855,3.2063,24.7933,117.3816,20.351
PF3D7_0110400,29.3678,46.8345,64.1868,16.0671,24.9266,136.0992,115.6617
PF3D7_0110500,9.8025,30.9625,17.5189,3.7285,14.8487,27.4357,46.1073
PF3D7_0110600,242.0267,247.821,108.9997,48.6702,24.4021,26.8544,218.0609
PF3D7_0110700,16.1136,36.1273,112.2985,25.424,127.6018,35.8543,126.2454
PF3D7_0110800,76.6836,93.9426,90.8628,30.6157,34.4653,47.5025,138.1391
PF3D7_0110900,16.0024,9.0456,4.6939,0.5239,12.9377,16.9336,4.9879
PF3D7_0111000,3.699,1.1111,26.9195,21.6535,3.0602,18.4558,223.5252
PF3D7_0111200,1.0651,0.5393,5.3181,2.999,21.6948,40.2254,23.7947
PF3D7_0111300,2.9493,2.6023,21.2302,6.878,3.515,21.108,14.7739
PF3D7_0111400,2.3713,1.6174,11.8266,3.2702,7.2395,38.4241,103.7836
PF3D7_0111500,5.1445,9.5206,55.8929,47.4049,25.0291,30.2275,75.2222
PF3D7_0111600,1.2576,7.324,8.7027,3.1476,23.1129,110.6921,41.206
PF3D7_0111700,2.359,6.9435,7.6711,1.6605,11.494,17.2514,0
PF3D7_0111800,7.1161,21.5358,25.31,3.7862,3.6007,15.2455,30.0404
PF3D7_0111900,12.3059,30.9428,81.2873,13.1423,80.0192,89.4497,85.313
PF3D7_0112000,6.3689,5.4276,13.8988,3.7176,3.0274,15.0021,33.3127
PF3D7_0112100,1.6973,0.6446,0,0,0.447,3.3494,949.8183
PF3D7_0112200,3.2066,27.5177,28.5287,7.685,0.6635,1.542,1.5349
PF3D7_0112300,0.5829,0.7748,0.6892,0.1367,2.3539,1.8945,0
PF3D7_0112400,0.5298,0,0,0,0.5582,1.9682,0
PF3D7_0112500,2.5881,1.9658,12.9217,9.716,10.9061,8.0113,23.1261
PF3D7_0112600,1.6683,0.4525,2.0666,1.6775,2.0085,3.873,22.3605
PF3D7_0112700,2.7979,9.3704,4.4915,6.0157,20.9008,7.3458,80.116
PF3D7_0112800,8.1873,0.2591,5.6474,0,13.1173,140.0197,32.0063
PF3D7_0112900,11.2304,3.496,3.0478,2.5918,2.5213,17.2673,24.676
PF3D7_0113000,548.6315,2473.8246,137.1514,14.5356,43.4552,6.8555,86.4944
PF3D7_0113100,4.4054,0.4246,0.7227,0.1259,0.3062,1.9935,59.9457
PF3D7_0113200,11.8529,201.5034,91.6347,23.1295,6.6761,11.3338,88.8713
PF3D7_0113300,144.121,10.0299,10.9721,1.1722,1.6291,5.9653,4.7833
PF3D7_0113400,3.9467,0.5506,0.5079,0.2267,4.4972,5.7593,23.7507
PF3D7_0113600,5.5115,0.6419,0.8689,0.0517,0.5806,1.6377,20.1916
PF3D7_0113700,75.4633,33.7101,14.9062,0.7293,3.2745,6.735,130.7709
PF3D7_0113800,101.8693,6.6873,2.0234,0.135,0.4801,0.7908,8.842
PF3D7_0113900,72.159,22.0974,6.7451,1.2045,16.9763,101.3068,43.9618
PF3D7_0114000,6.7738,3.5023,5.827,2.2752,20.8072,25.5363,78.6853
PF3D7_0114100,0,0.4596,1.3118,0,0,0.1404,18.2495
PF3D7_0114200,1.8997,0.3797,0.0788,0.2815,0.1053,0.3714,0
PF3D7_0114300,2.5009,1.9822,0.6857,0,0.6873,4.5439,4.3722
PF3D7_0114400,2.3449,0.5745,0.1192,0.2129,0.239,0.2107,0
PF3D7_0114500,0.9404,8.3338,0.9884,0,2.6419,18.6304,0
PF3D7_0114600,3.5574,0.6755,0.1752,0.313,0.1171,0.4129,0
PF3D7_0114700,5.0475,1.4683,0.7619,0,0.1131,0,0
PF3D7_0114800,3.9578,5.0104,0.13,0,0.3474,0.4594,0
PF3D7_0114900,3.2826,0.374,0.1293,0,0.8645,10.0594,0
PF3D7_0115000,0.4877,0.0274,0,0.1017,0.019,0.1342,0
PF3D7_0115100,0.1183,0,0.0933,0,0,1.3188,0
PF3D7_0115200,4.0548,16.0444,0.3716,0.2655,0.596,0.1751,0
PF3D7_0115300,3.4073,2.1959,0.5697,0.8721,0.2175,0.0958,0
PF3D7_0115400,4.0326,2.2754,0.9082,0,0,0.4279,0
PF3D7_0115500,1.5268,0,0,0,0,1.4924,0
PF3D7_0115600,11.1713,4.5209,4.6198,0,2.3151,0.9353,0
PF3D7_0115700,16.7507,6.6195,1.0827,0.9779,0.8149,0.733,0.4232
PF3D7_0200100,28.1904,3.3655,1.2978,1.6023,1.1134,0.6794,0
PF3D7_0200200,4.8818,8.2841,1.0644,2.9244,8.535,1.2539,0
PF3D7_0200300,0.4734,0.1797,0,0,0,0.1465,0
PF3D7_0200400,0.3422,0.5199,0,0,0.1201,0,0
PF3D7_0200500,0,0.9261,0,0.264,0.0988,0,0
PF3D7_0200600,0.5552,6.0452,0.2918,1.5633,0.3899,0.0859,0
PF3D7_0200700,0.7358,0.6387,0,0.2959,0.1107,0,0
PF3D7_0200800,0,0.0742,0,0,0,0,0
PF3D7_0200900,0.8173,1.5964,0,0.3287,0.123,0,0
PF3D7_0201000,0.5558,1.2666,0,0,0,0.1032,0
PF3D7_0201100,0,0,0,0,0,0,0
PF3D7_0201200,0.5848,0.074,0,0,0.1026,0.4525,0
PF3D7_0201300,0.4548,2.5048,0,0,0.1197,0.1055,0
PF3D7_0201400,0.8865,0,0,0,0,0.4116,0
PF3D7_0201500,1.3645,0.1036,4.8406,0,8.4813,12.2913,10.9735
PF3D7_0201600,17.8276,0.2719,1.3545,0,2.0364,0.6648,7.677
PF3D7_0201700,15.8725,0.2053,0.1217,0,0.2034,0.5379,6.2114
PF3D7_0201800,19.8716,0.4384,0.975,0,1.3898,0.6891,4.4206
PF3D7_0201900,9.6038,0.3788,1.4602,0,6.9951,2.1435,14.3236
PF3D7_0202000,4190.932,77.8383,38.193,10.4701,229.6229,29.1056,472.7861
PF3D7_0202100,23.7715,27.7387,21.4553,5.4966,0.7258,2.3461,32.3232
PF3D7_0202200,103.6707,9.7183,7.0696,0.3366,0.8817,1.6655,9.616
PF3D7_0202300,5.8426,7.791,0.4094,0.3655,0.4103,0.4822,0
PF3D7_0202400,32.7835,119.8337,31.408,9.6902,7.8352,4.0085,36.3563
PF3D7_0202500,7104.5732,1001.1416,1459.7016,464.2145,307.3008,23.8567,627.6487
PF3D7_0202600.1,11.2788,11.4229,12.5705,2.9931,2.1032,25.6908,36.1425
PF3D7_0202600.2,11.2873,11.4314,12.5798,2.9953,2.1048,25.71,36.1695
PF3D7_0202700,2.8404,2.3537,13.6388,6.3617,5.4407,31.2331,4.3263
PF3D7_0202800,5.4638,0.2184,14.0551,5.6677,15.7533,151.9477,0
PF3D7_0202900,3.1413,0.367,17.9058,4.082,23.0378,112.0831,14.5743
PF3D7_0203000,4.7449,1.2681,21.9303,17.5159,4.5728,14.0019,49.9354
PF3D7_0203100,5.6687,1.7648,5.7707,10.4433,2.9343,28.5169,43.1483
PF3D7_0203200,10.0004,5.619,5.5616,2.5071,3.4636,52.4756,25.7058
PF3D7_0203300,4.1526,2.1753,11.6268,4.4348,23.0802,297.7248,67.1737
PF3D7_0203400,5.295,2.2982,237.9279,57.5043,1059.4623,345.6006,70.9705
PF3D7_0203500,5.7993,4.405,2.2858,12.2462,12.2189,0,0
PF3D7_0203600,4.2674,1.0389,10.006,3.6969,2.536,11.1771,2.1998
PF3D7_0203700,151.3628,220.9936,49.6238,4.4531,26.1596,22.2513,60.4171
PF3D7_0203800,3.0758,0.9248,14.3971,1.9846,17.417,329.4302,1056.436
PF3D7_0203900,3.1304,10.0599,35.3081,11.6954,2.7904,9.0563,16.1376
PF3D7_0204000,2.4854,2.0866,7.8028,1.3504,1.6996,14.4149,12.8575
PF3D7_0204100,4.8496,3.6606,70.7978,190.3508,10.1381,37.6601,52.2034
PF3D7_0204200,78.7621,103.2405,106.0571,36.0757,138.1579,647.2949,385.5615
PF3D7_0204300,28.0065,14.0304,9.2483,1.6867,0.9992,5.6558,62.8974
PF3D7_0204400,29.641,11.0126,12.4452,1.8142,0.3394,1.7951,17.2732
PF3D7_0204500,27.3397,12.6943,16.8905,4.1022,1.1737,0.5571,12.6358
