[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0100100	Pf3D7_01_v3	null	null	VAR	MAL1P4.01, PFA0005w	
PF3D7_0100200	Pf3D7_01_v3	null	null	RIF	MAL1P4.02, PFA0010c	
PF3D7_0100300	Pf3D7_01_v3	null	null	VAR	MAL1P4.03, PFA0015c	
PF3D7_0100400	Pf3D7_01_v3	null	null	RIF	MAL1P4.04, PFA0020w	
PF3D7_0100500	Pf3D7_01_v3	null	null	null	MAL1P4.05, PFA0025c	
PF3D7_0100600	Pf3D7_01_v3	null	null	RIF	MAL1P4.06, PFA0030c	
PF3D7_0100700	Pf3D7_01_v3	null	null	null	MAL1P4.06b, PFA0035c	
PF3D7_0100800	Pf3D7_01_v3	null	null	RIF	MAL1P4.07, PFA0040w	
PF3D7_0100900	Pf3D7_01_v3	null	null	RIF	MAL1P4.08, PFA0045c	
PF3D7_0101000	Pf3D7_01_v3	null	null	RIF	MAL1P1.9a, PFA0050c	
PF3D7_0101100	Pf3D7_01_v3	null	null	EPF4	MAL1P1.2, PFA0055c	
PF3D7_0101200	Pf3D7_01_v3	null	null	EPF3	MAL1P1.3, PFA0060w	
PF3D7_0101300	Pf3D7_01_v3	null	null	MC-2TM	MAL1P1.4, PFA0065w	
PF3D7_0101400	Pf3D7_01_v3	null	null	EPF1	MAL1P1.5, PFA0070c	
PF3D7_0101500	Pf3D7_01_v3	null	null	VAR	MAL1P1.6, PFA0075w	
PF3D7_0101600	Pf3D7_01_v3	null	null	RIF	MAL1P1.7, PFA0080c	
PF3D7_0101700	Pf3D7_01_v3	null	null	VAR	MAL1P1.8, PFA0085c	
PF3D7_0101800	Pf3D7_01_v3	null	null	null	MAL1P1.9b, PFA0090c	
PF3D7_0101900	Pf3D7_01_v3	null	null	RIF	MAL1P1.10, PFA0095c	
PF3D7_0102000	Pf3D7_01_v3	null	null	null	MAL1P1.11, PFA0100c	
PF3D7_0102100	Pf3D7_01_v3	null	null	null	MAL1P1.11a, PFA0105w	
PF3D7_0102200	Pf3D7_01_v3	null	null	RESA	MAL1P1.13, PFA0110w	
PF3D7_0102300	Pf3D7_01_v3	null	null	null	MAL1P1.14, PFA0115w	
PF3D7_0102400	Pf3D7_01_v3	null	null	null	MAL1P1.15, PFA0120c	
PF3D7_0102500	Pf3D7_01_v3	null	null	EBA181	MAL1P1.16, PFA0125c	
PF3D7_0102600	Pf3D7_01_v3	null	null	FIKK1	MAL1P1.17, PFA0130c	
PF3D7_0102700	Pf3D7_01_v3	null	null	null	MAL1P1.18, PFA0135w	
PF3D7_0102800	Pf3D7_01_v3	null	null	null	MAL1P1.19, PFA0140c	
PF3D7_0102900	Pf3D7_01_v3	null	null	null	MAL1P1.20, PFA0145c	
PF3D7_0103000	Pf3D7_01_v3	null	null	null	MAL1P1.71, PFA0150c	
PF3D7_0103100	Pf3D7_01_v3	null	null	VPS51	MAL1P1.72, PFA0155c	
PF3D7_0103200	Pf3D7_01_v3	null	null	NT4	MAL1P1.73, PFA0160c	
PF3D7_0103300	Pf3D7_01_v3	null	null	null	MAL1P1.74, PFA0165c	
PF3D7_0103400	Pf3D7_01_v3	null	null	null	MAL1P1.74b, PFA0170c	
PF3D7_0103500	Pf3D7_01_v3	null	null	null	MAL1P1.21, PFA0175w	
PF3D7_0103600	Pf3D7_01_v3	null	null	null	MAL1P1.22, PFA0180w	
PF3D7_0103700	Pf3D7_01_v3	null	null	PSTK	MAL1P1.23, PFA0185w	
PF3D7_0103800	Pf3D7_01_v3	null	null	ARP1	MAL1P1.24, PFA0190c	
PF3D7_0103900	Pf3D7_01_v3	null	null	PIEPS15	MAL1P1.29, PFA0195w	
PF3D7_0104000	Pf3D7_01_v3	null	null	TRSP	MAL1P1.30, PFA0200w	
PF3D7_0104100	Pf3D7_01_v3	null	null	null	MAL1P1.31, PFA0205w	
PF3D7_0104200	Pf3D7_01_v3	null	null	null	MAL1P1.33, PFA0210c	
PF3D7_0104300	Pf3D7_01_v3	null	null	UBP1	MAL1P1.34b, PFA0215w, PFA0220w	
PF3D7_0104400	Pf3D7_01_v3	null	null	LytB	MAL1P1.35, PFA0225w	
PF3D7_0104500	Pf3D7_01_v3	null	null	null	MAL1P1.36, PFA0230c	
PF3D7_0104600	Pf3D7_01_v3	null	null	null	MAL1P1.37, PFA0235w	
PF3D7_0104700	Pf3D7_01_v3	null	null	null	MAL1P1.39, PFA0240w	
PF3D7_0104800	Pf3D7_01_v3	null	null	NPT1	MAL1P1.40, PFA0245w	
PF3D7_0104900	Pf3D7_01_v3	null	null	null	PFA0246c, PFA0246c.1	
PF3D7_0105000	Pf3D7_01_v3	null	null	null	PF01TR001, PF01TR001:ncRNA	
PF3D7_0105100	Pf3D7_01_v3	null	null	null	MAL1P1.41, PFA0250w	
PF3D7_0105200	Pf3D7_01_v3	null	null	null	MAL1P1.42, PFA0255c	
PF3D7_0105300	Pf3D7_01_v3	null	null	CAP	MAL1P1.43, PFA0260c	
PF3D7_0105400.1	Pf3D7_01_v3	null	null	null	MAL1P1.44, PFA0265c	
PF3D7_0105400.2	Pf3D7_01_v3	null	null	null	MAL1P1.44, PFA0265c	
PF3D7_0105500	Pf3D7_01_v3	null	null	null	MAL1P1.45, PFA0270c	
PF3D7_0105600	Pf3D7_01_v3	null	null	null	MAL1P1.46, PFA0275c	
PF3D7_0105700	Pf3D7_01_v3	null	null	null	MAL1P1.47, PFA0280w	
PF3D7_0105800	Pf3D7_01_v3	null	null	null	MAL1P1.48, PFA0285c	
PF3D7_0105900	Pf3D7_01_v3	null	null	null	MAL1P1.49, PFA0290w	
PF3D7_0106000	Pf3D7_01_v3	null	null	null	MAL1P1.50, PFA0295c	
PF3D7_0106100	Pf3D7_01_v3	null	null	null	MAL1P1.52, PFA0300c	
PF3D7_0106200	Pf3D7_01_v3	null	null	null	MAL1P1.53, PFA0305c	
PF3D7_0106300	Pf3D7_01_v3	null	null	ATP6	MAL1P1.54, PFA0310c	
PF3D7_0106400	Pf3D7_01_v3	null	null	null	MAL1P1.55, PFA0315w	
PF3D7_0106500	Pf3D7_01_v3	null	null	null	MAL1P1.56, PFA0320w	
PF3D7_0106600	Pf3D7_01_v3	null	null	null	MAL1P1.57, PFA0325w	
PF3D7_0106700	Pf3D7_01_v3	null	null	AARP2	MAL1P1.58, PFA0330w	
PF3D7_0106800	Pf3D7_01_v3	null	null	RAB5c	MAL1P1.59, PFA0335w	
PF3D7_0106900	Pf3D7_01_v3	null	null	IspD	MAL1P1.60, PFA0340w	
PF3D7_0107000	Pf3D7_01_v3	null	null	CEN1	MAL1P1.61, PFA0345w	
PF3D7_0107100	Pf3D7_01_v3	null	null	null	MAL1P1.63, PFA0350c	
PF3D7_0107200	Pf3D7_01_v3	null	null	null	MAL1P1.64, PFA0350w, PFA0355w, PFA0355w:exon:1	
